From,PM10 (µg/m3)
01/02/2023 00:00,95
01/02/2023 00:15,95
01/02/2023 00:30,95
01/02/2023 00:45,122
01/02/2023 01:00,122
01/02/2023 01:15,122
01/02/2023 01:30,122
01/02/2023 01:45,90
01/02/2023 02:00,90
01/02/2023 02:15,90
01/02/2023 02:30,90
01/02/2023 02:45,72
01/02/2023 03:00,72
01/02/2023 03:15,72
01/02/2023 03:30,72
01/02/2023 03:45,72
01/02/2023 04:00,72
01/02/2023 04:15,72
01/02/2023 04:30,72
01/02/2023 04:45,58
01/02/2023 05:00,58
01/02/2023 05:15,58
01/02/2023 05:30,58
01/02/2023 05:45,58
01/02/2023 06:00,58
01/02/2023 06:15,58
01/02/2023 06:30,58
01/02/2023 06:45,67
01/02/2023 07:00,67
01/02/2023 07:15,67
01/02/2023 07:30,67
01/02/2023 07:45,83
01/02/2023 08:00,83
01/02/2023 08:15,83
01/02/2023 08:30,83
01/02/2023 08:45,122
01/02/2023 09:00,122
01/02/2023 09:15,122
01/02/2023 09:30,122
01/02/2023 09:45,99
01/02/2023 10:00,99
01/02/2023 10:15,99
01/02/2023 10:30,99
01/02/2023 10:45,64
01/02/2023 11:00,64
01/02/2023 11:15,64
01/02/2023 11:30,64
01/02/2023 11:45,64
01/02/2023 12:00,64
01/02/2023 12:15,64
01/02/2023 12:30,64
01/02/2023 12:45,61
01/02/2023 13:00,61
01/02/2023 13:15,61
01/02/2023 13:30,61
01/02/2023 13:45,73
01/02/2023 14:00,73
01/02/2023 14:15,73
01/02/2023 14:30,73
01/02/2023 14:45,63
01/02/2023 15:00,63
01/02/2023 15:15,63
01/02/2023 15:30,63
01/02/2023 15:45,70
01/02/2023 16:00,70
01/02/2023 16:15,70
01/02/2023 16:30,70
01/02/2023 16:45,100
01/02/2023 17:00,100
01/02/2023 17:15,100
01/02/2023 17:30,100
01/02/2023 17:45,146
01/02/2023 18:00,146
01/02/2023 18:15,146
01/02/2023 18:30,146
01/02/2023 18:45,239
01/02/2023 19:00,239
01/02/2023 19:15,239
01/02/2023 19:30,239
01/02/2023 19:45,239
01/02/2023 20:00,239
01/02/2023 20:15,239
01/02/2023 20:30,239
01/02/2023 20:45,250
01/02/2023 21:00,250
01/02/2023 21:15,250
01/02/2023 21:30,250
01/02/2023 21:45,219
01/02/2023 22:00,219
01/02/2023 22:15,219
01/02/2023 22:30,219
01/02/2023 22:45,207
01/02/2023 23:00,207
01/02/2023 23:15,207
01/02/2023 23:30,207
01/02/2023 23:45,178
02/02/2023 00:00,178
02/02/2023 00:15,178
02/02/2023 00:30,178
02/02/2023 00:45,146
02/02/2023 01:00,146
02/02/2023 01:15,146
02/02/2023 01:30,146
02/02/2023 01:45,190
02/02/2023 02:00,190
02/02/2023 02:15,190
02/02/2023 02:30,190
02/02/2023 02:45,190
02/02/2023 03:00,190
02/02/2023 03:15,190
02/02/2023 03:30,190
02/02/2023 03:45,113
02/02/2023 04:00,113
02/02/2023 04:15,113
02/02/2023 04:30,113
02/02/2023 04:45,92
02/02/2023 05:00,92
02/02/2023 05:15,92
02/02/2023 05:30,92
02/02/2023 05:45,99
02/02/2023 06:00,99
02/02/2023 06:15,99
02/02/2023 06:30,99
02/02/2023 06:45,96
02/02/2023 07:00,96
02/02/2023 07:15,96
02/02/2023 07:30,96
02/02/2023 07:45,111
02/02/2023 08:00,111
02/02/2023 08:15,111
02/02/2023 08:30,111
02/02/2023 08:45,151
02/02/2023 09:00,151
02/02/2023 09:15,151
02/02/2023 09:30,151
02/02/2023 09:45,113
02/02/2023 10:00,113
02/02/2023 10:15,113
02/02/2023 10:30,113
02/02/2023 10:45,113
02/02/2023 11:00,113
02/02/2023 11:15,113
02/02/2023 11:30,113
02/02/2023 11:45,105
02/02/2023 12:00,105
02/02/2023 12:15,105
02/02/2023 12:30,105
02/02/2023 12:45,114
02/02/2023 13:00,114
02/02/2023 13:15,114
02/02/2023 13:30,114
02/02/2023 13:45,135
02/02/2023 14:00,135
02/02/2023 14:15,135
02/02/2023 14:30,135
02/02/2023 14:45,146
02/02/2023 15:00,146
02/02/2023 15:15,146
02/02/2023 15:30,146
02/02/2023 15:45,133
02/02/2023 16:00,133
02/02/2023 16:15,133
02/02/2023 16:30,133
02/02/2023 16:45,138
02/02/2023 17:00,138
02/02/2023 17:15,138
02/02/2023 17:30,138
02/02/2023 17:45,129
02/02/2023 18:00,129
