From,NH3 (µg/m3)
01/02/2023 00:00,17.7
01/02/2023 00:15,18.3
01/02/2023 00:30,19.7
01/02/2023 00:45,21.3
01/02/2023 01:00,22.3
01/02/2023 01:15,22.7
01/02/2023 01:30,23.1
01/02/2023 01:45,23.5
01/02/2023 02:00,23.1
01/02/2023 02:15,22.9
01/02/2023 02:30,22.6
01/02/2023 02:45,22.5
01/02/2023 03:00,22.7
01/02/2023 03:15,22.5
01/02/2023 03:30,22.7
01/02/2023 03:45,23.2
01/02/2023 04:00,23.4
01/02/2023 04:15,21.3
01/02/2023 04:30,19.9
01/02/2023 04:45,18.8
01/02/2023 05:00,18.3
01/02/2023 05:15,17.3
01/02/2023 05:30,17.2
01/02/2023 05:45,17.7
01/02/2023 06:00,17.6
01/02/2023 06:15,17.5
01/02/2023 06:30,18
01/02/2023 06:45,18.2
01/02/2023 07:00,18
01/02/2023 07:15,19.1
01/02/2023 07:30,18.8
01/02/2023 07:45,18.1
01/02/2023 08:00,17.3
01/02/2023 08:15,18.2
01/02/2023 08:30,20.4
01/02/2023 08:45,21.7
01/02/2023 09:00,23.2
01/02/2023 09:15,23.4
01/02/2023 09:30,22.4
01/02/2023 09:45,23.7
01/02/2023 10:00,25.1
01/02/2023 10:15,27
01/02/2023 10:30,28.2
01/02/2023 10:45,26.6
01/02/2023 11:00,25.8
01/02/2023 11:15,24.8
01/02/2023 11:30,24.9
01/02/2023 11:45,24.6
01/02/2023 12:00,24.3
01/02/2023 12:15,24
01/02/2023 12:30,24
01/02/2023 12:45,21.9
01/02/2023 13:00,20.6
01/02/2023 13:15,20.1
01/02/2023 13:30,20.4
01/02/2023 13:45,20.5
01/02/2023 14:00,20.7
01/02/2023 14:15,21.5
01/02/2023 14:30,22
01/02/2023 14:45,20.8
01/02/2023 15:00,20.7
01/02/2023 15:15,21.8
01/02/2023 15:30,22.7
01/02/2023 15:45,23.4
01/02/2023 16:00,23.1
01/02/2023 16:15,23.1
01/02/2023 16:30,24.6
01/02/2023 16:45,26.2
01/02/2023 17:00,28
01/02/2023 17:15,30.3
01/02/2023 17:30,29
01/02/2023 17:45,28
01/02/2023 18:00,26.5
01/02/2023 18:15,25.6
01/02/2023 18:30,24.5
01/02/2023 18:45,24.5
01/02/2023 19:00,24.1
01/02/2023 19:15,24
01/02/2023 19:30,24.2
01/02/2023 19:45,23.7
01/02/2023 20:00,24.1
01/02/2023 20:15,24.3
01/02/2023 20:30,24.7
01/02/2023 20:45,24.4
01/02/2023 21:00,23.4
01/02/2023 21:15,21.6
01/02/2023 21:30,20.2
01/02/2023 21:45,19.6
01/02/2023 22:00,19.2
01/02/2023 22:15,19
01/02/2023 22:30,19.4
01/02/2023 22:45,19.6
01/02/2023 23:00,19.7
01/02/2023 23:15,19.8
01/02/2023 23:30,19.7
01/02/2023 23:45,19.7
02/02/2023 00:00,19.7
02/02/2023 00:15,19.6
02/02/2023 00:30,20
02/02/2023 00:45,21.4
02/02/2023 01:00,22.4
02/02/2023 01:15,23.4
02/02/2023 01:30,24.1
02/02/2023 01:45,24.3
02/02/2023 02:00,24.6
02/02/2023 02:15,24.7
02/02/2023 02:30,24.7
02/02/2023 02:45,24.5
02/02/2023 03:00,24.7
02/02/2023 03:15,24.9
02/02/2023 03:30,24.6
02/02/2023 03:45,25
02/02/2023 04:00,24.8
02/02/2023 04:15,24.3
02/02/2023 04:30,24.6
02/02/2023 04:45,23.7
02/02/2023 05:00,21.6
02/02/2023 05:15,20.4
02/02/2023 05:30,20
02/02/2023 05:45,19.4
02/02/2023 06:00,19.1
02/02/2023 06:15,19
02/02/2023 06:30,18.9
02/02/2023 06:45,19.3
02/02/2023 07:00,19.6
02/02/2023 07:15,19.3
02/02/2023 07:30,18.7
02/02/2023 07:45,18.9
02/02/2023 08:00,19.1
02/02/2023 08:15,19.4
02/02/2023 08:30,19.8
02/02/2023 08:45,22.4
02/02/2023 09:00,24
02/02/2023 09:15,24.7
02/02/2023 09:30,24.4
02/02/2023 09:45,25.7
02/02/2023 10:00,28.8
02/02/2023 10:15,28.3
02/02/2023 10:30,28.4
02/02/2023 10:45,28.5
02/02/2023 11:00,27.8
02/02/2023 11:15,28
02/02/2023 11:30,29.1
02/02/2023 11:45,27.3
02/02/2023 12:00,25.5
02/02/2023 12:15,23.7
02/02/2023 12:30,22.8
02/02/2023 12:45,25.8
02/02/2023 13:00,25
02/02/2023 13:15,22.9
02/02/2023 13:30,21.7
02/02/2023 13:45,19.9
02/02/2023 14:00,19.5
02/02/2023 14:15,19.1
02/02/2023 14:30,18.7
02/02/2023 14:45,18.6
02/02/2023 15:00,18
02/02/2023 15:15,17.8
02/02/2023 15:30,17.7
02/02/2023 15:45,18
02/02/2023 16:00,18
02/02/2023 16:15,17.8
02/02/2023 16:30,18
02/02/2023 16:45,19.1
02/02/2023 17:00,21.6
02/02/2023 17:15,25.8
02/02/2023 17:30,26.1
02/02/2023 17:45,25.1
02/02/2023 18:00,24.3
02/02/2023 18:15,24
02/02/2023 18:30,24.4
02/02/2023 18:45,24.7
02/02/2023 19:00,24.9
02/02/2023 19:15,25
02/02/2023 19:30,25.2
02/02/2023 19:45,25
02/02/2023 20:00,24.5
02/02/2023 20:15,24.6
02/02/2023 20:30,25
02/02/2023 20:45,25.6
02/02/2023 21:00,25.4
02/02/2023 21:15,22.9
02/02/2023 21:30,21.2
02/02/2023 21:45,20.3
02/02/2023 22:00,19.5
02/02/2023 22:15,18.8
02/02/2023 22:30,18.2
02/02/2023 22:45,18.2
02/02/2023 23:00,18.4
02/02/2023 23:15,18.5
02/02/2023 23:30,18.3
02/02/2023 23:45,19
03/02/2023 00:00,18.4
03/02/2023 00:15,18.4
03/02/2023 00:30,18.5
03/02/2023 00:45,19
03/02/2023 01:00,20.5
03/02/2023 01:15,23.2
03/02/2023 01:30,24.8
03/02/2023 01:45,25.8
03/02/2023 02:00,27
03/02/2023 02:15,26.4
03/02/2023 02:30,26
03/02/2023 02:45,25.9
03/02/2023 03:00,26.1
03/02/2023 03:15,25.4
03/02/2023 03:30,25.4
03/02/2023 03:45,25.8
03/02/2023 04:00,25.8
03/02/2023 04:15,25.6
03/02/2023 04:30,25
03/02/2023 04:45,25.5
03/02/2023 05:00,25.2
03/02/2023 05:15,21.9
03/02/2023 05:30,20.4
03/02/2023 05:45,19.8
03/02/2023 06:00,19.1
03/02/2023 06:15,19.4
03/02/2023 06:30,19.1
03/02/2023 06:45,18.5
03/02/2023 07:00,18.5
03/02/2023 07:15,19
03/02/2023 07:30,19
03/02/2023 07:45,19.3
03/02/2023 08:00,20
03/02/2023 08:15,20.3
03/02/2023 08:30,21
03/02/2023 08:45,20.9
03/02/2023 09:00,21.4
03/02/2023 09:15,22.8
03/02/2023 09:30,24.4
03/02/2023 09:45,27.7
03/02/2023 10:00,30.4
03/02/2023 10:15,31.4
03/02/2023 10:30,31.9
03/02/2023 10:45,31.5
03/02/2023 11:00,30.3
03/02/2023 11:15,30.5
03/02/2023 11:30,30.8
03/02/2023 11:45,28.96666667
03/02/2023 12:00,27.13333333
03/02/2023 12:15,25.3
03/02/2023 12:30,24
03/02/2023 12:45,25.4
03/02/2023 13:00,25.9
03/02/2023 13:15,24.4
03/02/2023 13:30,22.3
03/02/2023 13:45,21.1
03/02/2023 14:00,20.2
03/02/2023 14:15,19.8
03/02/2023 14:30,19.8
03/02/2023 14:45,20.3
03/02/2023 15:00,20.7
03/02/2023 15:15,20.2
03/02/2023 15:30,20.2
03/02/2023 15:45,19.9
03/02/2023 16:00,19.9
03/02/2023 16:15,19.3
03/02/2023 16:30,19.3
03/02/2023 16:45,18.9
03/02/2023 17:00,19.5
03/02/2023 17:15,22.2
03/02/2023 17:30,23.5
03/02/2023 17:45,24.4
03/02/2023 18:00,24.4
03/02/2023 18:15,24.1
03/02/2023 18:30,24.3
03/02/2023 18:45,24.5
03/02/2023 19:00,24.5
03/02/2023 19:15,24.9
03/02/2023 19:30,24.9
03/02/2023 19:45,25.2
03/02/2023 20:00,25.1
03/02/2023 20:15,25.2
03/02/2023 20:30,25.9
03/02/2023 20:45,26.3
03/02/2023 21:00,26.6
03/02/2023 21:15,24.8
03/02/2023 21:30,23.8
03/02/2023 21:45,22.9
03/02/2023 22:00,21.5
03/02/2023 22:15,20.8
03/02/2023 22:30,20.5
03/02/2023 22:45,20.4
03/02/2023 23:00,20.4
03/02/2023 23:15,20.3
03/02/2023 23:30,20.8
03/02/2023 23:45,20.3
04/02/2023 00:00,19.7
04/02/2023 00:15,20
04/02/2023 00:30,19.5
04/02/2023 00:45,20.2
04/02/2023 01:00,20.8
04/02/2023 01:15,22.6
04/02/2023 01:30,24.7
04/02/2023 01:45,25.7
04/02/2023 02:00,26.9
04/02/2023 02:15,27.8
04/02/2023 02:30,27.5
04/02/2023 02:45,26.9
04/02/2023 03:00,26.7
04/02/2023 03:15,26
04/02/2023 03:30,26.1
04/02/2023 03:45,26.3
04/02/2023 04:00,26.3
04/02/2023 04:15,26.2
04/02/2023 04:30,26.1
04/02/2023 04:45,26.2
04/02/2023 05:00,25.9
04/02/2023 05:15,22.8
04/02/2023 05:30,21.1
04/02/2023 05:45,20.3
04/02/2023 06:00,20.1
04/02/2023 06:15,19.5
04/02/2023 06:30,19.6
04/02/2023 06:45,19.5
04/02/2023 07:00,19.4
04/02/2023 07:15,19.9
04/02/2023 07:30,20.1
