From, NO2 (µg/m3)
01/02/2023 00:00,90.1
01/02/2023 00:15,88
01/02/2023 00:30,87.7
01/02/2023 00:45,88.9
01/02/2023 01:00,90
01/02/2023 01:15,90.2
01/02/2023 01:30,88.9
01/02/2023 01:45,88.9
01/02/2023 02:00,88.9
01/02/2023 02:15,88.9
01/02/2023 02:30,88.8
01/02/2023 02:45,88.9
01/02/2023 03:00,88.9
01/02/2023 03:15,87.7
01/02/2023 03:30,85.6
01/02/2023 03:45,84.9
01/02/2023 04:00,84.5
01/02/2023 04:15,83.6
01/02/2023 04:30,82.7
01/02/2023 04:45,81.3
01/02/2023 05:00,80
01/02/2023 05:15,80.1
01/02/2023 05:30,78.9
01/02/2023 05:45,78.6
01/02/2023 06:00,79.3
01/02/2023 06:15,77.9
01/02/2023 06:30,76.7
01/02/2023 06:45,75.7
01/02/2023 07:00,76.1
01/02/2023 07:15,76.3
01/02/2023 07:30,75.9
01/02/2023 07:45,76.6
01/02/2023 08:00,79.1
01/02/2023 08:15,78.9
01/02/2023 08:30,77.8
01/02/2023 08:45,79.1
01/02/2023 09:00,80.4
01/02/2023 09:15,81.1
01/02/2023 09:30,82.1
01/02/2023 09:45,80.4
01/02/2023 10:00,77.9
01/02/2023 10:15,77.4
01/02/2023 10:30,76
01/02/2023 10:45,75.1
01/02/2023 11:00,75.4
01/02/2023 11:15,74.9
01/02/2023 11:30,73.2
01/02/2023 11:45,70.9
01/02/2023 12:00,68.6
01/02/2023 12:15,66.3
01/02/2023 12:30,64
01/02/2023 12:45,62.1
01/02/2023 13:00,63.6
01/02/2023 13:15,63.4
01/02/2023 13:30,61.5
01/02/2023 13:45,59.9
01/02/2023 14:00,62.4
01/02/2023 14:15,61.1
01/02/2023 14:30,59
01/02/2023 14:45,59.2
01/02/2023 15:00,61.3
01/02/2023 15:15,61.7
01/02/2023 15:30,60.7
01/02/2023 15:45,59.5
01/02/2023 16:00,61.3
01/02/2023 16:15,62.7
01/02/2023 16:30,64.8
01/02/2023 16:45,66.5
01/02/2023 17:00,69.4
01/02/2023 17:15,70.7
01/02/2023 17:30,71.1
01/02/2023 17:45,73.5
01/02/2023 18:00,78.7
01/02/2023 18:15,81.9
01/02/2023 18:30,84
01/02/2023 18:45,86.3
01/02/2023 19:00,89.7
01/02/2023 19:15,89.8
01/02/2023 19:30,90.3
01/02/2023 19:45,92
01/02/2023 20:00,93.4
01/02/2023 20:15,93.2
01/02/2023 20:30,93.8
01/02/2023 20:45,93.1
01/02/2023 21:00,93.3
01/02/2023 21:15,93.9
01/02/2023 21:30,93.7
01/02/2023 21:45,92.5
01/02/2023 22:00,90.9
01/02/2023 22:15,88.8
01/02/2023 22:30,86.7
01/02/2023 22:45,85.6
01/02/2023 23:00,84
01/02/2023 23:15,81.4
01/02/2023 23:30,80.1
01/02/2023 23:45,79
02/02/2023 00:00,78.8
02/02/2023 00:15,78.3
02/02/2023 00:30,77.5
02/02/2023 00:45,76.8
02/02/2023 01:00,77.9
02/02/2023 01:15,79.2
02/02/2023 01:30,80
02/02/2023 01:45,80.9
02/02/2023 02:00,81.1
02/02/2023 02:15,80.2
02/02/2023 02:30,79.3
02/02/2023 02:45,78.7
02/02/2023 03:00,77.5
02/02/2023 03:15,76.2
02/02/2023 03:30,75
02/02/2023 03:45,73.9
02/02/2023 04:00,72.9
02/02/2023 04:15,72.4
02/02/2023 04:30,72
02/02/2023 04:45,70.9
02/02/2023 05:00,71.4
02/02/2023 05:15,70.3
02/02/2023 05:30,68.2
02/02/2023 05:45,68.1
02/02/2023 06:00,67.9
02/02/2023 06:15,66.4
02/02/2023 06:30,65.4
02/02/2023 06:45,64.6
02/02/2023 07:00,64.9
02/02/2023 07:15,64.8
02/02/2023 07:30,65.1
02/02/2023 07:45,66.2
02/02/2023 08:00,67.7
02/02/2023 08:15,68.4
02/02/2023 08:30,69.3
02/02/2023 08:45,69.3
02/02/2023 09:00,69.6
02/02/2023 09:15,71.4
02/02/2023 09:30,73
02/02/2023 09:45,74.8
02/02/2023 10:00,75.9
02/02/2023 10:15,75.3
02/02/2023 10:30,74.3
02/02/2023 10:45,73.3
02/02/2023 11:00,74.3
02/02/2023 11:15,73.7
02/02/2023 11:30,73.4
02/02/2023 11:45,73.375
02/02/2023 12:00,73.35
02/02/2023 12:15,73.325
02/02/2023 12:30,73.3
02/02/2023 12:45,74.3
02/02/2023 13:00,74.3
02/02/2023 13:15,73.3
02/02/2023 13:30,73.5
02/02/2023 13:45,74.1
02/02/2023 14:00,76.4
02/02/2023 14:15,76.1
02/02/2023 14:30,76.1
02/02/2023 14:45,76.5
02/02/2023 15:00,78
02/02/2023 15:15,78.5
02/02/2023 15:30,78.8
02/02/2023 15:45,78.9
02/02/2023 16:00,80.2
02/02/2023 16:15,80.8
02/02/2023 16:30,80.1
02/02/2023 16:45,79.8
02/02/2023 17:00,80.7
02/02/2023 17:15,81.7
02/02/2023 17:30,83.4
02/02/2023 17:45,87
02/02/2023 18:00,89.8
02/02/2023 18:15,90.9
02/02/2023 18:30,91.4
02/02/2023 18:45,92.6
02/02/2023 19:00,94.2
02/02/2023 19:15,95.4
02/02/2023 19:30,95.1
02/02/2023 19:45,95.6
02/02/2023 20:00,97
02/02/2023 20:15,97
02/02/2023 20:30,96.2
02/02/2023 20:45,94.8
02/02/2023 21:00,95.5
02/02/2023 21:15,95.5
02/02/2023 21:30,94.7
02/02/2023 21:45,94.2
02/02/2023 22:00,94
02/02/2023 22:15,92.7
02/02/2023 22:30,92.2
02/02/2023 22:45,91
02/02/2023 23:00,90.3
02/02/2023 23:15,87.2
02/02/2023 23:30,85.4
02/02/2023 23:45,83.7
03/02/2023 00:00,85.1
03/02/2023 00:15,84.3
03/02/2023 00:30,82.9
03/02/2023 00:45,80.7
03/02/2023 01:00,78.8
03/02/2023 01:15,76.6
03/02/2023 01:30,76.4
03/02/2023 01:45,76.1
03/02/2023 02:00,76.6
03/02/2023 02:15,77
03/02/2023 02:30,77.4
03/02/2023 02:45,76.8
03/02/2023 03:00,76.2
03/02/2023 03:15,76.5
03/02/2023 03:30,76.3
03/02/2023 03:45,75.2
03/02/2023 04:00,75.5
03/02/2023 04:15,75.6
03/02/2023 04:30,77.1
03/02/2023 04:45,76.5
03/02/2023 05:00,76.9
03/02/2023 05:15,75.8
03/02/2023 05:30,74.7
03/02/2023 05:45,72.9
03/02/2023 06:00,72.6
03/02/2023 06:15,70.1
03/02/2023 06:30,68.5
03/02/2023 06:45,67.2
03/02/2023 07:00,67
03/02/2023 07:15,65.1
03/02/2023 07:30,64.5
03/02/2023 07:45,65.8
03/02/2023 08:00,66.3
03/02/2023 08:15,66.5
03/02/2023 08:30,66.9
03/02/2023 08:45,69.6
03/02/2023 09:00,71.1
03/02/2023 09:15,72
03/02/2023 09:30,73.5
03/02/2023 09:45,73.9
03/02/2023 10:00,74.3
03/02/2023 10:15,74.8
03/02/2023 10:30,75.9
03/02/2023 10:45,76.7
03/02/2023 11:00,77.9
03/02/2023 11:15,78.2
03/02/2023 11:30,77.7
03/02/2023 11:45,77.475
03/02/2023 12:00,77.25
03/02/2023 12:15,77.025
03/02/2023 12:30,76.8
03/02/2023 12:45,79.8
03/02/2023 13:00,83
03/02/2023 13:15,82.9
03/02/2023 13:30,82.2
03/02/2023 13:45,81.2
03/02/2023 14:00,81.5
03/02/2023 14:15,80.2
03/02/2023 14:30,80.1
03/02/2023 14:45,80.4
03/02/2023 15:00,80.6
03/02/2023 15:15,81.6
03/02/2023 15:30,82.5
03/02/2023 15:45,83.8
03/02/2023 16:00,84.8
03/02/2023 16:15,84.5
03/02/2023 16:30,84.9
03/02/2023 16:45,85.7
03/02/2023 17:00,87.2
03/02/2023 17:15,87.7
03/02/2023 17:30,88.6
03/02/2023 17:45,90.6
03/02/2023 18:00,92.5
03/02/2023 18:15,94.8
03/02/2023 18:30,95.4
03/02/2023 18:45,96.6
03/02/2023 19:00,98.5
03/02/2023 19:15,98.5
03/02/2023 19:30,98.3
03/02/2023 19:45,98.8
03/02/2023 20:00,100.8
03/02/2023 20:15,101.4
03/02/2023 20:30,100.8
03/02/2023 20:45,100.8
03/02/2023 21:00,102.4
03/02/2023 21:15,100.9
03/02/2023 21:30,100.4
03/02/2023 21:45,100.7
03/02/2023 22:00,100
03/02/2023 22:15,97.2
03/02/2023 22:30,96.3
03/02/2023 22:45,96.1
03/02/2023 23:00,95.2
03/02/2023 23:15,92.4
03/02/2023 23:30,90.7
03/02/2023 23:45,89.9
04/02/2023 00:00,89
04/02/2023 00:15,87.7
04/02/2023 00:30,87.7
04/02/2023 00:45,84.7
04/02/2023 01:00,83.7
04/02/2023 01:15,81.1
04/02/2023 01:30,79.2
04/02/2023 01:45,81.2
04/02/2023 02:00,81.6
04/02/2023 02:15,80.5
04/02/2023 02:30,79.9
04/02/2023 02:45,79
04/02/2023 03:00,79
04/02/2023 03:15,78.2
04/02/2023 03:30,77
04/02/2023 03:45,75.5
04/02/2023 04:00,75.2
04/02/2023 04:15,74.3
04/02/2023 04:30,73
04/02/2023 04:45,72.6
04/02/2023 05:00,72.1
04/02/2023 05:15,70.6
04/02/2023 05:30,69
04/02/2023 05:45,68.8
04/02/2023 06:00,68.8
04/02/2023 06:15,67.6
04/02/2023 06:30,66.8
04/02/2023 06:45,67.3
04/02/2023 07:00,68.8
04/02/2023 07:15,67.9
04/02/2023 07:30,67.5
04/02/2023 07:45,68.5
04/02/2023 08:00,69.5
04/02/2023 08:15,70.6
04/02/2023 08:30,72.1
04/02/2023 08:45,72.9
04/02/2023 09:00,74.9
04/02/2023 09:15,76.7
04/02/2023 09:30,78.9
04/02/2023 09:45,81.9
04/02/2023 10:00,82.7
04/02/2023 10:15,83
04/02/2023 10:30,82
04/02/2023 10:45,81.3
04/02/2023 11:00,82.6
04/02/2023 11:15,81.2
04/02/2023 11:30,79.9
04/02/2023 11:45,78.775
04/02/2023 12:00,77.65
04/02/2023 12:15,76.525
04/02/2023 12:30,75.4
04/02/2023 12:45,76.4
04/02/2023 13:00,69.33333333
04/02/2023 13:15,62.26666667
04/02/2023 13:30,55.2
04/02/2023 13:45,54.7
04/02/2023 14:00,56.4
04/02/2023 14:15,55.3
04/02/2023 14:30,53.8
04/02/2023 14:45,53.5
04/02/2023 15:00,56.6
04/02/2023 15:15,55.8
04/02/2023 15:30,56.6
04/02/2023 15:45,57
04/02/2023 16:00,59.3
04/02/2023 16:15,61.9
04/02/2023 16:30,64
04/02/2023 16:45,66
04/02/2023 17:00,69.5
04/02/2023 17:15,72.1
04/02/2023 17:30,74.3
04/02/2023 17:45,76.6
04/02/2023 18:00,77.9
04/02/2023 18:15,80.2
04/02/2023 18:30,82.7
04/02/2023 18:45,85.5
04/02/2023 19:00,87.6
04/02/2023 19:15,90.1
04/02/2023 19:30,91.8
04/02/2023 19:45,92
04/02/2023 20:00,92.7
04/02/2023 20:15,93.8
04/02/2023 20:30,93.6
04/02/2023 20:45,93.9
04/02/2023 21:00,95.3
04/02/2023 21:15,96.1
04/02/2023 21:30,95.9
04/02/2023 21:45,94.9
04/02/2023 22:00,92.5
04/02/2023 22:15,90.4
04/02/2023 22:30,89.1
04/02/2023 22:45,88.2
04/02/2023 23:00,87.4
04/02/2023 23:15,85.7
