From,NOX (ppb)
01/02/2023 00:00,56.2
01/02/2023 00:15,55.1
01/02/2023 00:30,55.2
01/02/2023 00:45,55.7
01/02/2023 01:00,55.8
01/02/2023 01:15,55.9
01/02/2023 01:30,55.4
01/02/2023 01:45,55.2
01/02/2023 02:00,55.9
01/02/2023 02:15,55.3
01/02/2023 02:30,55.4
01/02/2023 02:45,55.1
01/02/2023 03:00,55.8
01/02/2023 03:15,55.5
01/02/2023 03:30,54.2
01/02/2023 03:45,54.1
01/02/2023 04:00,53.7
01/02/2023 04:15,53
01/02/2023 04:30,52.3
01/02/2023 04:45,51.5
01/02/2023 05:00,51.2
01/02/2023 05:15,51.4
01/02/2023 05:30,51.1
01/02/2023 05:45,50.6
01/02/2023 06:00,49.9
01/02/2023 06:15,49.5
01/02/2023 06:30,49
01/02/2023 06:45,48.6
01/02/2023 07:00,49
01/02/2023 07:15,49
01/02/2023 07:30,48.9
01/02/2023 07:45,49.3
01/02/2023 08:00,50.8
01/02/2023 08:15,50.6
01/02/2023 08:30,49.1
01/02/2023 08:45,48.9
01/02/2023 09:00,48.6
01/02/2023 09:15,48.1
01/02/2023 09:30,47.7
01/02/2023 09:45,46.7
01/02/2023 10:00,45.5
01/02/2023 10:15,45.1
01/02/2023 10:30,44.3
01/02/2023 10:45,44.2
01/02/2023 11:00,43.8
01/02/2023 11:15,42.9
01/02/2023 11:30,41.6
01/02/2023 11:45,40.3
01/02/2023 12:00,39
01/02/2023 12:15,37.7
01/02/2023 12:30,36.4
01/02/2023 12:45,35.1
01/02/2023 13:00,35.9
01/02/2023 13:15,35.9
01/02/2023 13:30,35.2
01/02/2023 13:45,34.8
01/02/2023 14:00,36.2
01/02/2023 14:15,35
01/02/2023 14:30,34
01/02/2023 14:45,34
01/02/2023 15:00,35.1
01/02/2023 15:15,35.6
01/02/2023 15:30,35.4
01/02/2023 15:45,35.3
01/02/2023 16:00,36.9
01/02/2023 16:15,38
01/02/2023 16:30,38.7
01/02/2023 16:45,39.7
01/02/2023 17:00,41.3
01/02/2023 17:15,42.2
01/02/2023 17:30,42.7
01/02/2023 17:45,44.5
01/02/2023 18:00,47.7
01/02/2023 18:15,48.8
01/02/2023 18:30,50.6
01/02/2023 18:45,52.1
01/02/2023 19:00,53.6
01/02/2023 19:15,54.3
01/02/2023 19:30,54.9
