#,From,To (Interval: 15M),"Singrauli, Surya Kiran Bhawan Dudhichua  PM10 (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  PM2.5 (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  NO (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  NO2 (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  NOX (ppb)","Singrauli, Surya Kiran Bhawan Dudhichua  CO (mg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  SO2 (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  NH3 (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  Ozone (µg/m3)","Singrauli, Surya Kiran Bhawan Dudhichua  Benzene (µg/m3)"
1,01/02/2023 00:00,01/02/2023 00:15,95,35,12,90.1,56.2,0.31,8.2,17.7,28.1,0.4
2,01/02/2023 00:15,01/02/2023 00:30,95,35,12.0060757,88,55.1,0.33,8.2,18.3,27.1,0.4
3,01/02/2023 00:30,01/02/2023 00:45,95,35,12.01215139,87.7,55.2,0.38,8.2,19.7,24.9,0.4
4,01/02/2023 00:45,01/02/2023 01:00,122,34,12.01822709,88.9,55.7,0.38,8.2,21.3,21.9,0.4
5,01/02/2023 01:00,01/02/2023 01:15,122,34,12.02430279,90,55.8,0.38,8.2,22.3,16.7,0.4
6,01/02/2023 01:15,01/02/2023 01:30,122,34,12.03037849,90.2,55.9,0.37,8.2,22.7,16.1,0.4
7,01/02/2023 01:30,01/02/2023 01:45,122,34,12.03645418,88.9,55.4,0.34,8.2,23.1,22.5,0.4
8,01/02/2023 01:45,01/02/2023 02:00,90,35,12.04252988,88.9,55.2,0.35,8.2,23.5,20.5,0.4
9,01/02/2023 02:00,01/02/2023 02:15,90,35,12.04860558,88.9,55.9,0.34,8.2,23.1,22.8,0.4
10,01/02/2023 02:15,01/02/2023 02:30,90,35,12.05468127,88.9,55.3,0.35,8.2,22.9,19,0.4
11,01/02/2023 02:30,01/02/2023 02:45,90,35,12.06075697,88.8,55.4,0.39,8.2,22.6,17.1,0.4
12,01/02/2023 02:45,01/02/2023 03:00,72,32,12.06683267,88.9,55.1,0.46,8.2,22.5,19.1,0.4
13,01/02/2023 03:00,01/02/2023 03:15,72,32,12.07290837,88.9,55.8,0.47,8.2,22.7,18.2,0.4
14,01/02/2023 03:15,01/02/2023 03:30,72,32,12.07898406,87.7,55.5,0.44,8.2,22.5,18,0.4
15,01/02/2023 03:30,01/02/2023 03:45,72,32,12.08505976,85.6,54.2,0.41,8.2,22.7,15.7,0.4
16,01/02/2023 03:45,01/02/2023 04:00,72,44,12.09113546,84.9,54.1,0.41,8.2,23.2,13.8,0.4
17,01/02/2023 04:00,01/02/2023 04:15,72,44,12.09721116,84.5,53.7,0.41,8.2,23.4,16.4,0.4
18,01/02/2023 04:15,01/02/2023 04:30,72,44,12.10328685,83.6,53,0.42,8.2,21.3,16.9,0.4
19,01/02/2023 04:30,01/02/2023 04:45,72,44,12.10936255,82.7,52.3,0.39,8.2,19.9,16.7,0.4
20,01/02/2023 04:45,01/02/2023 05:00,58,28,12.11543825,81.3,51.5,0.37,8.2,18.8,18.9,0.4
21,01/02/2023 05:00,01/02/2023 05:15,58,28,12.12151394,80,51.2,0.34,8.2,18.3,22.8,0.4
22,01/02/2023 05:15,01/02/2023 05:30,58,28,12.12758964,80.1,51.4,0.33,8.2,17.3,22.7,0.4
23,01/02/2023 05:30,01/02/2023 05:45,58,28,12.13366534,78.9,51.1,0.32,8.2,17.2,23.7,0.4
24,01/02/2023 05:45,01/02/2023 06:00,58,33,12.13974104,78.6,50.6,0.32,8.2,17.7,24.1,0.4
25,01/02/2023 06:00,01/02/2023 06:15,58,33,12.14581673,79.3,49.9,0.31,8.2,17.6,22.4,0.4
26,01/02/2023 06:15,01/02/2023 06:30,58,33,12.15189243,77.9,49.5,0.31,8.2,17.5,17.5,0.4
27,01/02/2023 06:30,01/02/2023 06:45,58,33,12.15796813,76.7,49,0.31,8.2,18,15.8,0.4
28,01/02/2023 06:45,01/02/2023 07:00,67,45,12.16404382,75.7,48.6,0.33,8.2,18.2,14,0.4
29,01/02/2023 07:00,01/02/2023 07:15,67,45,12.17011952,76.1,49,0.37,8.2,18,11,0.4
30,01/02/2023 07:15,01/02/2023 07:30,67,45,12.17619522,76.3,49,0.45,8.2,19.1,9.3,0.4
31,01/02/2023 07:30,01/02/2023 07:45,67,45,12.18227092,75.9,48.9,0.52,8.2,18.8,12.5,0.4
32,01/02/2023 07:45,01/02/2023 08:00,83,68,12.18834661,76.6,49.3,0.47,8.2,18.1,22.1,0.4
33,01/02/2023 08:00,01/02/2023 08:15,83,68,12.19442231,79.1,50.8,0.49,8.2,17.3,30.1,0.4
34,01/02/2023 08:15,01/02/2023 08:30,83,68,12.20049801,78.9,50.6,0.34,8.2,18.2,35.8,0.4
35,01/02/2023 08:30,01/02/2023 08:45,83,68,12.20657371,77.8,49.1,0.29,8.2,20.4,36.9,0.4
36,01/02/2023 08:45,01/02/2023 09:00,122,46,12.2126494,79.1,48.9,0.26,8.2,21.7,39.43333333,0.4
37,01/02/2023 09:00,01/02/2023 09:15,122,46,12.2187251,80.4,48.6,0.26,8.2,23.2,41.96666667,0.4
38,01/02/2023 09:15,01/02/2023 09:30,122,46,12.2248008,81.1,48.1,0.26,8.2,23.4,44.5,0.4
39,01/02/2023 09:30,01/02/2023 09:45,122,46,12.23087649,82.1,47.7,0.26,8.2,22.4,44.6,0.4
