From,Ozone (µg/m3)
01/02/2023 00:00,28.1
01/02/2023 00:15,27.1
01/02/2023 00:30,24.9
01/02/2023 00:45,21.9
01/02/2023 01:00,16.7
01/02/2023 01:15,16.1
01/02/2023 01:30,22.5
01/02/2023 01:45,20.5
01/02/2023 02:00,22.8
01/02/2023 02:15,19
01/02/2023 02:30,17.1
01/02/2023 02:45,19.1
01/02/2023 03:00,18.2
01/02/2023 03:15,18
01/02/2023 03:30,15.7
01/02/2023 03:45,13.8
01/02/2023 04:00,16.4
01/02/2023 04:15,16.9
01/02/2023 04:30,16.7
01/02/2023 04:45,18.9
01/02/2023 05:00,22.8
01/02/2023 05:15,22.7
01/02/2023 05:30,23.7
01/02/2023 05:45,24.1
01/02/2023 06:00,22.4
01/02/2023 06:15,17.5
01/02/2023 06:30,15.8
01/02/2023 06:45,14
01/02/2023 07:00,11
01/02/2023 07:15,9.3
01/02/2023 07:30,12.5
01/02/2023 07:45,22.1
01/02/2023 08:00,30.1
01/02/2023 08:15,35.8
01/02/2023 08:30,36.9
01/02/2023 08:45,39.43333333
01/02/2023 09:00,41.96666667
01/02/2023 09:15,44.5
01/02/2023 09:30,44.6
01/02/2023 09:45,45.8
01/02/2023 10:00,47.3
01/02/2023 10:15,48.6
01/02/2023 10:30,49.2
01/02/2023 10:45,50.4
01/02/2023 11:00,51.7
01/02/2023 11:15,53.4
01/02/2023 11:30,52.1
01/02/2023 11:45,53.4
01/02/2023 12:00,54.7
01/02/2023 12:15,56
01/02/2023 12:30,57.3
01/02/2023 12:45,58.6
01/02/2023 13:00,59.8
01/02/2023 13:15,57.1
01/02/2023 13:30,56.5
01/02/2023 13:45,56.9
01/02/2023 14:00,56.8
01/02/2023 14:15,57.1
01/02/2023 14:30,55
01/02/2023 14:45,56.3
01/02/2023 15:00,54.76
01/02/2023 15:15,53.22
01/02/2023 15:30,51.68
01/02/2023 15:45,50.14
01/02/2023 16:00,48.6
01/02/2023 16:15,49.2
01/02/2023 16:30,49.8
01/02/2023 16:45,47.8
01/02/2023 17:00,44.6
01/02/2023 17:15,42.6
01/02/2023 17:30,37.1
